"ILVGSU","****","*******",714098,"****************************","****","*****"
"ILVGSU","2010","8-88603",41684,"SCOTTS (ORTHO)","GGPO","00100"
"ILVGSU","2010","0-32247",15203,"SCOTTS (MIR.GRO)","GGPO","00103"
"ILVGSU","2010","0-32247",1786,"SCOTTS (LAWNS)","GGPO","00106"
"ILVGSU","2010","0-32247",854,"SCOTTS (LAWN PRO)","GGPO","00108"
"ILVGSU","2010","0-32247",5719,"SCOTTS (SOILS)","GGPO","00110"
"ILVGSU","2010","0-32247",893,"SCOTTS (GRASS SEED)","GGPO","00111"
"ILVGSU","2010","8-88603",190711,"SCOTTS (TOMCAT)","GGPO","00118"
"ILVGSU","2010","0-50197",-225,"ESPOMA","GGPO","01800"
"ILVGSU","2010","6-87073",13755,"SBM LIFE SCIENCE CORP.","GGPO","02100"
"ILVGSU","2010","6-87073",713,"SBM (DISPLAYS)","GGPO","02102"
"ILVGSU","2010","0-37321",31500,"BONIDE","GGPO","04700"
"ILVGSU","2010","0-37321",771,"BONIDE","GGPO","04707"
"ILVGSU","2010","0-37321",128,"BONIDE -REVENGE","GGPO","04711"
"ILVGSU","2010","0-46539",5702,"MILORGANITE DIVISION-MMSD","GGPO","05300"
"ILVGSU","2010","0-46539",6754,"MILORGANITE (DROPSHIP)","GGPO","05302"
"ILVGSU","2010","8-91549",64048,"UNITED INDUSTRIES CORP","GGPO","06300"
"ILVGSU","2010","0-73035",1245,"EASY GARDENER-(JOBES ROSS)","GGPO","06800"
"ILVGSU","2010","0-64277",6349,"SUN GRO HORTICULTURE INC.","GGPO","10400"
"ILVGSU","2010","0-29973",1438,"SUNGRO (DROP SHIP)","GGPO","10402"
"ILVGSU","2010","0-35307",654,"LUSTER LEAF PRODUCTS (GG)","GGPO","11000"
"ILVGSU","2010","0-42206",0,"MELNOR INC.","GGPO","20600"
"ILVGSU","2010","0-17849",10170,"FLEXRAKE","GGPO","25900"
"ILVGSU","2010","0-46412",1042,"SPRAYCO","GGPO","28800"
"ILVGSU","2010","0-86155",499,"GLOBAL HARVEST FOODS LTD.","GGPO","35000"
"ILVGSU","2010","7-52289",28163,"FOXFARM SOIL &FERTILIZER CO","GGPO","39400"
"ILVGSU","2010","8-59547",3150,"SCRUB DADDY","GGPO","39600"
"ILVGSU","2010","0-37000",14340,"ARETT SALES","GGPO","51402"
"ILVGSU","2010","0-71618",849,"SERVAAS LABORATORIES INC.","GGPO","59100"
"ILVGSU","2010","8-53345",4808,"TATTLER HOME PRODUCTS","GGPO","70000"
"ILVGSU","2010","8-18573",9057,"LOEM,LLC G","GGPO","71500"
"ILVGSU","2010","8-18573",2714,"LOEM G","GGPO","71502"
"ILVGSU","2010","0-28009",2989,"MICHIGAN PEAT COMPANY","GGPO","89800"
"ILVGSU","2010","0-70481",125355,"COLGATE-PALMOLIVE CO.","GGPO","93000"
"ILVGSU","2010","0-17500",1670,"FAULTLESS STARCH","GGPO","96900"
"ILVGSU","2010","0-45635",1186,"ZTRAPS","GGPO","97700"
"ILVGSU","2010","0-22357",764,"BERG BAG COMPANY","GGPO","BB000"
"ILVGSU","2010","8-45049",32651,"CENTURION BRANDS","GGPO","CB000"
"ILVGSU","2010","8-45049",0,"","GGPO","CB001"
"ILVGSU","2010","8-40049",0,"GLEN HAVEN HOME &HOLIDAY","GGPO","GH000"
"ILVGSU","2010","0-13238",45100,"LIGNETICS,INC.","GGPO","MAR01"
"ILVGSU","2010","0-27856",38367,"PEQUA INDUSTRIES","GGPO","PEQ00"
"ILVGSU","2010","6-78408",1522,"FOR LIFE PRODUCTS,LLC","GGPO","RE000"
