"Distributor","Period","UPC Code","Purchase $","Vendor","Code"
"BCEDDI","2112","0-87404","2592.18","Bloem Living LLC","GGPO"
"BCEDDI","2112","8-14174","5428.32","Bloem Living LLC","GGPO"
"BCEDDI","2112","8-09663","8793.45","Blue Sky Clayworks, Inc. ","GGPO"
"BCEDDI","2112","8-10020","398.12","Blue Sky Clayworks, Inc. ","GGPO"
"BCEDDI","2112","7-59188","76831.88","Curtis Wagner Plastics Corp.","GGPO"
"BCEDDI","2112","1-91942","10308.57","Deroma Usa-Marshall Pottery","GGPO"
"BCEDDI","2112","7-26232","26090.3","Deroma Usa-Marshall Pottery","GGPO"
"BCEDDI","2112","0-27652","8449.05","Easy Gardener Products/Jobes  *CAD*","GGPO"
"BCEDDI","2112","0-38398","8133.83","Easy Gardener Products/Jobes  *CAD*","GGPO"
"BCEDDI","2112","0-39044","3387.57","Easy Gardener Products/Jobes  *CAD*","GGPO"
"BCEDDI","2112","0-73035","62083.41","Easy Gardener Products/Jobes  *CAD*","GGPO"
"BCEDDI","2112","7-26189","2804.81","Easy Gardener Products/Jobes  *CAD*","GGPO"
"BCEDDI","2112","0-30541","2927.39","JRM Chemical Inc.","GGPO"
"BCEDDI","2112","0-34613","1065.98","Orbit Irrigation Products, Inc.","GGPO"
"BCEDDI","2112","0-35355","3213.06","Orbit Irrigation Products, Inc.","GGPO"
"BCEDDI","2112","7-18455","191.84","Orbit Irrigation Products, Inc.","GGPO"
"BCEDDI","2112","0-72874","5532.28","PIP Canada Ltd OA West Chester  Gear","GGPO"
"BCEDDI","2112","0-64277","112419.68","Sun Gro Horticulture Canada","GGPO"
"BCEDDI","2112","0-32903","2344.21","The HC Canada *USD*","GGPO"
"BCEDDI","2112","0-56554","1486.1","The HC Canada *USD*","GGPO"
"BCEDDI","2112","7-70932","7161.25","The HC Canada *USD*","GGPO"
"BCEDDI","2112","0-24654","7878.45","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-36348","876.27","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-43256","1058.5","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-58115","215.28","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-67894","72227","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-70923","2273.39","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-72868","2541.86","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-77625","2940.16","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-78978","52442.91","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","0-95501","363.07","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","6-33686","291.3","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","7-17816","1598.16","Woodstream Canada Corporation","GGPO"
"BCEDDI","2112","7-37120","576.89","Woodstream Canada Corporation","GGPO"
